date,trend-worldwide
10/18/15,32
10/25/15,33
11/1/15,32
11/8/15,32
11/15/15,31
11/22/15,35
11/29/15,33
12/6/15,33
12/13/15,33
12/20/15,38
12/27/15,35
1/3/16,30
1/10/16,28
1/17/16,27
1/24/16,28
1/31/16,27
2/7/16,26
2/14/16,28
2/21/16,27
2/28/16,26
3/6/16,26
3/13/16,25
3/20/16,40
3/27/16,30
4/3/16,28
4/10/16,27
4/17/16,26
4/24/16,28
5/1/16,26
5/8/16,25
5/15/16,26
5/22/16,26
5/29/16,26
6/5/16,24
6/12/16,28
6/19/16,25
6/26/16,25
7/3/16,27
7/10/16,28
7/17/16,26
7/24/16,27
7/31/16,27
8/7/16,26
8/14/16,25
8/21/16,26
8/28/16,30
9/4/16,61
9/11/16,43
9/18/16,39
9/25/16,37
10/2/16,33
10/9/16,33
10/16/16,31
10/23/16,38
10/30/16,32
11/6/16,31
11/13/16,32
11/20/16,39
11/27/16,33
12/4/16,32
12/11/16,35
12/18/16,36
12/25/16,40
1/1/17,33
1/8/17,30
1/15/17,29
1/22/17,28
1/29/17,28
2/5/17,28
2/12/17,27
2/19/17,26
2/26/17,27
3/5/17,26
3/12/17,26
3/19/17,29
3/26/17,29
4/2/17,28
4/9/17,27
4/16/17,27
4/23/17,26
4/30/17,27
5/7/17,26
5/14/17,27
5/21/17,26
5/28/17,25
6/4/17,33
6/11/17,29
6/18/17,28
6/25/17,28
7/2/17,27
7/9/17,28
7/16/17,28
7/23/17,29
7/30/17,29
8/6/17,29
8/13/17,29
8/20/17,29
8/27/17,29
9/3/17,29
9/10/17,62
9/17/17,40
9/24/17,37
10/1/17,35
10/8/17,33
10/15/17,32
10/22/17,35
10/29/17,36
11/5/17,38
11/12/17,35
11/19/17,42
11/26/17,37
12/3/17,37
12/10/17,35
12/17/17,38
12/24/17,46
12/31/17,38
1/7/18,33
1/14/18,32
1/21/18,31
1/28/18,31
2/4/18,31
2/11/18,30
2/18/18,29
2/25/18,30
3/4/18,28
3/11/18,29
3/18/18,28
3/25/18,31
4/1/18,29
4/8/18,29
4/15/18,28
4/22/18,27
4/29/18,29
5/6/18,28
5/13/18,28
5/20/18,27
5/27/18,28
6/3/18,31
6/10/18,28
6/17/18,28
6/24/18,27
7/1/18,26
7/8/18,28
7/15/18,29
7/22/18,29
7/29/18,32
8/5/18,30
8/12/18,30
8/19/18,29
8/26/18,30
9/2/18,29
9/9/18,57
9/16/18,40
9/23/18,38
9/30/18,34
10/7/18,33
10/14/18,33
10/21/18,32
10/28/18,36
11/4/18,34
11/11/18,35
11/18/18,44
11/25/18,37
12/2/18,35
12/9/18,37
12/16/18,37
12/23/18,44
12/30/18,38
1/6/19,34
1/13/19,31
1/20/19,30
1/27/19,30
2/3/19,29
2/10/19,28
2/17/19,28
2/24/19,27
3/3/19,27
3/10/19,27
3/17/19,30
3/24/19,34
3/31/19,29
4/7/19,27
4/14/19,27
4/21/19,27
4/28/19,28
5/5/19,27
5/12/19,27
5/19/19,28
5/26/19,27
6/2/19,35
6/9/19,30
6/16/19,29
6/23/19,28
6/30/19,28
7/7/19,28
7/14/19,30
7/21/19,28
7/28/19,29
8/4/19,29
8/11/19,30
8/18/19,30
8/25/19,48
9/1/19,100
9/8/19,95
9/15/19,77
9/22/19,61
9/29/19,36
10/6/19,36
10/13/19,34
10/20/19,33
10/27/19,38
11/3/19,37
11/10/19,37
11/17/19,36
11/24/19,46
12/1/19,40
12/8/19,37
12/15/19,38
12/22/19,46
12/29/19,38
1/5/20,34
1/12/20,32
1/19/20,32
1/26/20,31
2/2/20,30
2/9/20,30
2/16/20,30
2/23/20,30
3/1/20,30
3/8/20,30
3/15/20,30
3/22/20,30
3/29/20,30
4/5/20,29
4/12/20,36
4/19/20,34
4/26/20,34
5/3/20,35
5/10/20,33
5/17/20,34
5/24/20,33
5/31/20,33
6/7/20,33
6/14/20,34
6/21/20,37
6/28/20,34
7/5/20,34
7/12/20,35
7/19/20,35
7/26/20,35
8/2/20,36
8/9/20,36
8/16/20,36
8/23/20,37
8/30/20,39
9/6/20,37
9/13/20,52
9/20/20,42
9/27/20,38
10/4/20,36